item	entity
618	618
619	619
1055	1055
2386	2386
2385	2385
1054	1054
2384	2384
1053	1053
2383	2383
1052	1052
2382	2382
1051	1051
1050	1050
2381	2381
2380	2380
1049	1049
1048	1048
620	620
2379	2379
1047	1047
621	621
2378	2378
1046	1046
622	622
2377	2377
623	623
1045	1045
2376	2376
624	624
625	625
626	626
627	627
628	628
629	629
1066	1066
2397	2397
2396	2396
1065	1065
1064	1064
2395	2395
2394	2394
1063	1063
2393	2393
1062	1062
1061	1061
2392	2392
2391	2391
1060	1060
2390	2390
630	630
1059	1059
631	631
632	632
2389	2389
1058	1058
1057	1057
633	633
2388	2388
1056	1056
634	634
2387	2387
635	635
636	636
637	637
638	638
639	639
1077	1077
1076	1076
1075	1075
1074	1074
1073	1073
1072	1072
1071	1071
1070	1070
640	640
641	641
642	642
643	643
1069	1069
644	644
2399	2399
1068	1068
645	645
1067	1067
2398	2398
646	646
647	647
648	648
649	649
1080	1080
1088	1088
1087	1087
1086	1086
1085	1085
1084	1084
1083	1083
1082	1082
1081	1081
650	650
651	651
652	652
653	653
654	654
1079	1079
655	655
656	656
1078	1078
657	657
658	658
659	659
1091	1091
1090	1090
1099	1099
1098	1098
1097	1097
1096	1096
1095	1095
1094	1094
1093	1093
1092	1092
660	660
661	661
662	662
663	663
664	664
665	665
666	666
1089	1089
667	667
668	668
669	669
670	670
671	671
672	672
673	673
674	674
675	675
676	676
677	677
678	678
679	679
680	680
681	681
682	682
683	683
684	684
200	200
685	685
201	201
686	686
202	202
203	203
687	687
688	688
204	204
205	205
689	689
206	206
207	207
208	208
209	209
690	690
691	691
692	692
693	693
210	210
694	694
211	211
695	695
212	212
696	696
213	213
697	697
214	214
698	698
215	215
699	699
216	216
217	217
218	218
219	219
220	220
221	221
222	222
223	223
224	224
225	225
226	226
227	227
228	228
229	229
230	230
231	231
232	232
233	233
234	234
235	235
236	236
237	237
238	238
239	239
1909	1909
1908	1908
240	240
241	241
242	242
243	243
244	244
245	245
246	246
247	247
248	248
249	249
1907	1907
1906	1906
1905	1905
1904	1904
1903	1903
1902	1902
1901	1901
1900	1900
1919	1919
250	250
251	251
252	252
253	253
1910	1910
254	254
255	255
256	256
257	257
258	258
259	259
1918	1918
1917	1917
1916	1916
1915	1915
1914	1914
1913	1913
1912	1912
1911	1911
260	260
261	261
262	262
263	263
1921	1921
264	264
265	265
1920	1920
266	266
267	267
268	268
269	269
1929	1929
1928	1928
1927	1927
1926	1926
1925	1925
1924	1924
1923	1923
1922	1922
270	270
271	271
272	272
273	273
274	274
275	275
1932	1932
1931	1931
276	276
277	277
1930	1930
278	278
279	279
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
1934	1934
1933	1933
280	280
281	281
282	282
283	283
284	284
285	285
286	286
1943	1943
1942	1942
287	287
288	288
1941	1941
289	289
1940	1940
1949	1949
1948	1948
1947	1947
1946	1946
1945	1945
1944	1944
290	290
291	291
292	292
293	293
294	294
295	295
296	296
2801	2801
1954	1954
297	297
1953	1953
2800	2800
298	298
1952	1952
299	299
1951	1951
1950	1950
2809	2809
2808	2808
2807	2807
2806	2806
1959	1959
1958	1958
2805	2805
2804	2804
1957	1957
2803	2803
1956	1956
1955	1955
2802	2802
1965	1965
2812	2812
1964	1964
2811	2811
2810	2810
1963	1963
1962	1962
1961	1961
1960	1960
2819	2819
2818	2818
2817	2817
1969	1969
2816	2816
2815	2815
1968	1968
1967	1967
2814	2814
2813	2813
1966	1966
2823	2823
1976	1976
2822	2822
1975	1975
1974	1974
2821	2821
1973	1973
2820	2820
1972	1972
1971	1971
1970	1970
2829	2829
2828	2828
2827	2827
2826	2826
1979	1979
1978	1978
2825	2825
2824	2824
1977	1977
1990	1990
1987	1987
1503	1503
2834	2834
2833	2833
1986	1986
1502	1502
1985	1985
1501	1501
2832	2832
2831	2831
1500	1500
1984	1984
2830	2830
1983	1983
1982	1982
1981	1981
1980	1980
1509	1509
2839	2839
1508	1508
2838	2838
1507	1507
1506	1506
2837	2837
2836	2836
1505	1505
1989	1989
1988	1988
1504	1504
2835	2835
1514	1514
1998	1998
2845	2845
1997	1997
1513	1513
2844	2844
1996	1996
2843	2843
1512	1512
2842	2842
1511	1511
1995	1995
1994	1994
2841	2841
1510	1510
2840	2840
1993	1993
1992	1992
1991	1991
1519	1519
1518	1518
2849	2849
2848	2848
1517	1517
1516	1516
2847	2847
1999	1999
2846	2846
1515	1515
1525	1525
2856	2856
2855	2855
1524	1524
1523	1523
2854	2854
2853	2853
1522	1522
1521	1521
2852	2852
2851	2851
1520	1520
2850	2850
1529	1529
1528	1528
2859	2859
2858	2858
1527	1527
1526	1526
2857	2857
2870	2870
1536	1536
2867	2867
1535	1535
2866	2866
1534	1534
2865	2865
1533	1533
2864	2864
1532	1532
2863	2863
1531	1531
2862	2862
1530	1530
2861	2861
2860	2860
1539	1539
2869	2869
1538	1538
2868	2868
1537	1537
2881	2881
1550	1550
2880	2880
1547	1547
2878	2878
2877	2877
1546	1546
1545	1545
2876	2876
1544	1544
2875	2875
2874	2874
1543	1543
1542	1542
2873	2873
2872	2872
1541	1541
2871	2871
1540	1540
1549	1549
1548	1548
2879	2879
2892	2892
1561	1561
2891	2891
1560	1560
2890	2890
2889	2889
1558	1558
2405	2405
2404	2404
1557	1557
2888	2888
2403	2403
1556	1556
2887	2887
2886	2886
1555	1555
2402	2402
2401	2401
1554	1554
2885	2885
2884	2884
1553	1553
2400	2400
1552	1552
2883	2883
1551	1551
2882	2882
2409	2409
2408	2408
2407	2407
1559	1559
2406	2406
1572	1572
1571	1571
1570	1570
1569	1569
2416	2416
2415	2415
2899	2899
1568	1568
2414	2414
1567	1567
2898	2898
2413	2413
1566	1566
2897	2897
2412	2412
2896	2896
1565	1565
1564	1564
2895	2895
2411	2411
2894	2894
2410	2410
1563	1563
1562	1562
2893	2893
2419	2419
2418	2418
2417	2417
1583	1583
2430	2430
1582	1582
1581	1581
1580	1580
2427	2427
1579	1579
2426	2426
2425	2425
1578	1578
1577	1577
2424	2424
1576	1576
2423	2423
1575	1575
2422	2422
1574	1574
2421	2421
1573	1573
2420	2420
2429	2429
2428	2428
2441	2441
1594	1594
1110	1110
2440	2440
1593	1593
1592	1592
1591	1591
1590	1590
1107	1107
2438	2438
1106	1106
2437	2437
2436	2436
1589	1589
1105	1105
2435	2435
1588	1588
1104	1104
2434	2434
1587	1587
1103	1103
2433	2433
1586	1586
1102	1102
1101	1101
1585	1585
2432	2432
1584	1584
2431	2431
1100	1100
1109	1109
1108	1108
2439	2439
1121	1121
2452	2452
1120	1120
2451	2451
2450	2450
2449	2449
1118	1118
1117	1117
2448	2448
2447	2447
1116	1116
2446	2446
1115	1115
1599	1599
1598	1598
1114	1114
2445	2445
1113	1113
1597	1597
2444	2444
1596	1596
2443	2443
1112	1112
1111	1111
2442	2442
1595	1595
1119	1119
1132	1132
2463	2463
2462	2462
1131	1131
2461	2461
1130	1130
2460	2460
1129	1129
1128	1128
2459	2459
1127	1127
2458	2458
2457	2457
1126	1126
1125	1125
2456	2456
1124	1124
2455	2455
1123	1123
2454	2454
2453	2453
700	700
1122	1122
701	701
702	702
703	703
704	704
705	705
706	706
707	707
708	708
709	709
2474	2474
1143	1143
1142	1142
2473	2473
1141	1141
2472	2472
1140	1140
2471	2471
2470	2470
1139	1139
1138	1138
2469	2469
1137	1137
2468	2468
2467	2467
1136	1136
1135	1135
2466	2466
2465	2465
1134	1134
710	710
1133	1133
2464	2464
711	711
712	712
713	713
714	714
715	715
716	716
717	717
718	718
719	719
1154	1154
2485	2485
2001	2001
2000	2000
1153	1153
2484	2484
1152	1152
2483	2483
1151	1151
2482	2482
1150	1150
2481	2481
2480	2480
1149	1149
1148	1148
2479	2479
1147	1147
2478	2478
2477	2477
1146	1146
720	720
2476	2476
1145	1145
721	721
2475	2475
1144	1144
722	722
723	723
724	724
725	725
726	726
727	727
728	728
729	729
2496	2496
1165	1165
2012	2012
1164	1164
2495	2495
2011	2011
2010	2010
1163	1163
2494	2494
1162	1162
2493	2493
2492	2492
1161	1161
2491	2491
1160	1160
2490	2490
2009	2009
2008	2008
2007	2007
2006	2006
1159	1159
2489	2489
730	730
2005	2005
1158	1158
731	731
2004	2004
1157	1157
2488	2488
2003	2003
732	732
1156	1156
2487	2487
2002	2002
1155	1155
2486	2486
733	733
734	734
735	735
736	736
737	737
738	738
739	739
1176	1176
2023	2023
2022	2022
1175	1175
1174	1174
2021	2021
2020	2020
1173	1173
1172	1172
1171	1171
1170	1170
2019	2019
2018	2018
740	740
2017	2017
741	741
1169	1169
2016	2016
1168	1168
2499	2499
2015	2015
742	742
743	743
2014	2014
2498	2498
1167	1167
1166	1166
2497	2497
2013	2013
744	744
745	745
746	746
747	747
748	748
749	749
2034	2034
1187	1187
2033	2033
1186	1186
1185	1185
2032	2032
1184	1184
2031	2031
2030	2030
1183	1183
1182	1182
1181	1181
1180	1180
2029	2029
750	750
751	751
2028	2028
752	752
2027	2027
753	753
1179	1179
2026	2026
754	754
2025	2025
1178	1178
2024	2024
1177	1177
755	755
756	756
757	757
758	758
759	759
1190	1190
1198	1198
2045	2045
1197	1197
2044	2044
1196	1196
2043	2043
1195	1195
2042	2042
1194	1194
2041	2041
1193	1193
2040	2040
1192	1192
1191	1191
760	760
761	761
2039	2039
762	762
763	763
2038	2038
2037	2037
764	764
1189	1189
765	765
2036	2036
2035	2035
766	766
1188	1188
767	767
768	768
769	769
2056	2056
2055	2055
2054	2054
2053	2053
2052	2052
2051	2051
2050	2050
770	770
771	771
772	772
773	773
2049	2049
774	774
775	775
2048	2048
776	776
2047	2047
1199	1199
777	777
2046	2046
778	778
779	779
2067	2067
2066	2066
2065	2065
2064	2064
2063	2063
2062	2062
2061	2061
2060	2060
780	780
781	781
782	782
783	783
784	784
300	300
301	301
785	785
2059	2059
786	786
302	302
2058	2058
787	787
303	303
304	304
788	788
2057	2057
789	789
305	305
306	306
307	307
308	308
309	309
2070	2070
2078	2078
2077	2077
2076	2076
2075	2075
2074	2074
2073	2073
790	790
2072	2072
2071	2071
791	791
792	792
793	793
794	794
310	310
795	795
311	311
796	796
312	312
797	797
313	313
798	798
314	314
2069	2069
315	315
799	799
2068	2068
316	316
317	317
318	318
319	319
2081	2081
2080	2080
2089	2089
2088	2088
2087	2087
2086	2086
2085	2085
2084	2084
2083	2083
2082	2082
320	320
321	321
322	322
323	323
324	324
325	325
326	326
2079	2079
327	327
328	328
329	329
2092	2092
2091	2091
2090	2090
2099	2099
2098	2098
2097	2097
2096	2096
2095	2095
2094	2094
2093	2093
330	330
331	331
332	332
333	333
334	334
335	335
336	336
337	337
338	338
339	339
340	340
341	341
342	342
343	343
344	344
345	345
346	346
347	347
348	348
349	349
350	350
351	351
352	352
353	353
354	354
355	355
356	356
357	357
358	358
359	359
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
360	360
361	361
362	362
363	363
364	364
365	365
366	366
367	367
368	368
369	369
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
370	370
371	371
372	372
373	373
374	374
375	375
376	376
377	377
378	378
379	379
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
380	380
381	381
382	382
383	383
384	384
385	385
386	386
387	387
388	388
389	389
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
2909	2909
390	390
391	391
392	392
393	393
394	394
395	395
396	396
2900	2900
397	397
398	398
399	399
2908	2908
2907	2907
2906	2906
2905	2905
50	50
2904	2904
51	51
2903	2903
52	52
2902	2902
53	53
2901	2901
54	54
55	55
56	56
57	57
58	58
59	59
2911	2911
2910	2910
2919	2919
2918	2918
2917	2917
60	60
2916	2916
61	61
62	62
2915	2915
2914	2914
63	63
2913	2913
64	64
65	65
2912	2912
66	66
67	67
68	68
69	69
2922	2922
2921	2921
2920	2920
70	70
2929	2929
2928	2928
71	71
2927	2927
72	72
73	73
2926	2926
2925	2925
74	74
2924	2924
75	75
76	76
2923	2923
77	77
78	78
79	79
2933	2933
1602	1602
2932	2932
1601	1601
1600	1600
2931	2931
2930	2930
80	80
1609	1609
81	81
82	82
1608	1608
83	83
1607	1607
1606	1606
84	84
1605	1605
85	85
1604	1604
86	86
87	87
1603	1603
88	88
89	89
1613	1613
1612	1612
1611	1611
1610	1610
90	90
91	91
92	92
1619	1619
93	93
1618	1618
94	94
95	95
1617	1617
96	96
1616	1616
1615	1615
97	97
1614	1614
98	98
99	99
1624	1624
1623	1623
1622	1622
1621	1621
1620	1620
1629	1629
1628	1628
1627	1627
1626	1626
1625	1625
1635	1635
1634	1634
1633	1633
1632	1632
1631	1631
1630	1630
1639	1639
1638	1638
1637	1637
1636	1636
1646	1646
1645	1645
1644	1644
1643	1643
1642	1642
1641	1641
1640	1640
1649	1649
1648	1648
1647	1647
1660	1660
1657	1657
2504	2504
2503	2503
1656	1656
1655	1655
2502	2502
2501	2501
1654	1654
1653	1653
2500	2500
1652	1652
1651	1651
1650	1650
2509	2509
2508	2508
2507	2507
1659	1659
2506	2506
1658	1658
2505	2505
1671	1671
1670	1670
2515	2515
1668	1668
2514	2514
1667	1667
1666	1666
2513	2513
2512	2512
1665	1665
1664	1664
2511	2511
1663	1663
2510	2510
1662	1662
1661	1661
2519	2519
2518	2518
2517	2517
1669	1669
2516	2516
1682	1682
1681	1681
1680	1680
2526	2526
1679	1679
1678	1678
2525	2525
2524	2524
1677	1677
2523	2523
1676	1676
2522	2522
1675	1675
1674	1674
2521	2521
2520	2520
1673	1673
1672	1672
2529	2529
2528	2528
2527	2527
1693	1693
2540	2540
1692	1692
1691	1691
1690	1690
1206	1206
2537	2537
1205	1205
1689	1689
2536	2536
1688	1688
1204	1204
2535	2535
1687	1687
2534	2534
1203	1203
1202	1202
1686	1686
2533	2533
1201	1201
1685	1685
2532	2532
1684	1684
1200	1200
2531	2531
2530	2530
1683	1683
1209	1209
2539	2539
1208	1208
2538	2538
1207	1207
2551	2551
1220	1220
2550	2550
1217	1217
2548	2548
2547	2547
1216	1216
1699	1699
2546	2546
1215	1215
1214	1214
1698	1698
2545	2545
2544	2544
1213	1213
1697	1697
1696	1696
1212	1212
2543	2543
1695	1695
1211	1211
2542	2542
2541	2541
1694	1694
1210	1210
1219	1219
2549	2549
1218	1218
1231	1231
2562	2562
2561	2561
1230	1230
2560	2560
1228	1228
2559	2559
2558	2558
1227	1227
2557	2557
1226	1226
1225	1225
2556	2556
1224	1224
2555	2555
1223	1223
2554	2554
1222	1222
2553	2553
2552	2552
1221	1221
800	800
801	801
802	802
803	803
804	804
805	805
806	806
807	807
1229	1229
808	808
809	809
1242	1242
2573	2573
1241	1241
2572	2572
2571	2571
1240	1240
2570	2570
1239	1239
1238	1238
2569	2569
2568	2568
1237	1237
2567	2567
1236	1236
1235	1235
2566	2566
1234	1234
2565	2565
1233	1233
2564	2564
1232	1232
2563	2563
810	810
811	811
812	812
813	813
814	814
815	815
816	816
817	817
818	818
819	819
1253	1253
2584	2584
2100	2100
1252	1252
2583	2583
2582	2582
1251	1251
1250	1250
2581	2581
2580	2580
1249	1249
2579	2579
1248	1248
1247	1247
2578	2578
1246	1246
2577	2577
1245	1245
2576	2576
2575	2575
820	820
1244	1244
1243	1243
2574	2574
821	821
822	822
823	823
824	824
825	825
826	826
827	827
828	828
829	829
1264	1264
2111	2111
2595	2595
2110	2110
1263	1263
2594	2594
1262	1262
2593	2593
1261	1261
2592	2592
2591	2591
1260	1260
2590	2590
2108	2108
2107	2107
1259	1259
2106	2106
1258	1258
2105	2105
2589	2589
2588	2588
2104	2104
1257	1257
2103	2103
2587	2587
1256	1256
830	830
2102	2102
2586	2586
1255	1255
831	831
2101	2101
1254	1254
832	832
2585	2585
833	833
834	834
835	835
836	836
837	837
838	838
839	839
2109	2109
2122	2122
1275	1275
1274	1274
2121	2121
2120	2120
1273	1273
1272	1272
1271	1271
1270	1270
2119	2119
2118	2118
2117	2117
1269	1269
2116	2116
2599	2599
2115	2115
840	840
1268	1268
2114	2114
841	841
1267	1267
2598	2598
2597	2597
2113	2113
842	842
1266	1266
2112	2112
1265	1265
2596	2596
843	843
844	844
845	845
846	846
847	847
848	848
849	849
1286	1286
2133	2133
2132	2132
1285	1285
2131	2131
1284	1284
1283	1283
2130	2130
1282	1282
1281	1281
1280	1280
2129	2129
2128	2128
850	850
2127	2127
1279	1279
851	851
2126	2126
1278	1278
2125	2125
852	852
2124	2124
1277	1277
853	853
1276	1276
2123	2123
854	854
855	855
856	856
857	857
858	858
859	859
2144	2144
1297	1297
2143	2143
1296	1296
1295	1295
2142	2142
2141	2141
1294	1294
2140	2140
1293	1293
1292	1292
1291	1291
1290	1290
2139	2139
860	860
2138	2138
861	861
862	862
2137	2137
1289	1289
863	863
2136	2136
864	864
1288	1288
2135	2135
865	865
2134	2134
1287	1287
866	866
867	867
868	868
869	869
2155	2155
2154	2154
2153	2153
2152	2152
2151	2151
2150	2150
870	870
871	871
2149	2149
872	872
2148	2148
873	873
874	874
2147	2147
2146	2146
875	875
1299	1299
2145	2145
1298	1298
876	876
877	877
878	878
879	879
2166	2166
2165	2165
2164	2164
2163	2163
2162	2162
2161	2161
2160	2160
880	880
881	881
882	882
883	883
400	400
884	884
2159	2159
2158	2158
885	885
401	401
2157	2157
402	402
886	886
887	887
2156	2156
403	403
888	888
404	404
405	405
889	889
406	406
407	407
408	408
409	409
2177	2177
2176	2176
2175	2175
2174	2174
2173	2173
2172	2172
2171	2171
2170	2170
890	890
891	891
892	892
893	893
410	410
894	894
411	411
895	895
412	412
896	896
2169	2169
2168	2168
897	897
413	413
414	414
2167	2167
898	898
415	415
899	899
416	416
417	417
418	418
419	419
2180	2180
2188	2188
2187	2187
2186	2186
2185	2185
2184	2184
2183	2183
2182	2182
2181	2181
420	420
421	421
422	422
423	423
424	424
2179	2179
2178	2178
425	425
426	426
427	427
428	428
429	429
2191	2191
2190	2190
2199	2199
2198	2198
2197	2197
2196	2196
2195	2195
2194	2194
2193	2193
2192	2192
430	430
431	431
432	432
433	433
434	434
435	435
436	436
2189	2189
437	437
438	438
439	439
440	440
441	441
442	442
443	443
444	444
445	445
446	446
447	447
448	448
449	449
450	450
451	451
452	452
453	453
454	454
455	455
456	456
457	457
458	458
459	459
460	460
461	461
462	462
463	463
464	464
465	465
466	466
467	467
468	468
469	469
470	470
471	471
472	472
473	473
474	474
475	475
476	476
477	477
478	478
479	479
480	480
481	481
482	482
483	483
484	484
485	485
486	486
487	487
488	488
489	489
490	490
491	491
492	492
493	493
494	494
495	495
496	496
497	497
498	498
499	499
1701	1701
1700	1700
1709	1709
1708	1708
1707	1707
1706	1706
1705	1705
1704	1704
1703	1703
1702	1702
1712	1712
1711	1711
1710	1710
1719	1719
1718	1718
1717	1717
1716	1716
1715	1715
1714	1714
1713	1713
1723	1723
1722	1722
1721	1721
1720	1720
1729	1729
1728	1728
1727	1727
1726	1726
1725	1725
1724	1724
1734	1734
1733	1733
1732	1732
1731	1731
1730	1730
1739	1739
1738	1738
1737	1737
1736	1736
1735	1735
1745	1745
1744	1744
1743	1743
1742	1742
1741	1741
1740	1740
1749	1749
1748	1748
1747	1747
1746	1746
1756	1756
2603	2603
2602	2602
1755	1755
1754	1754
2601	2601
2600	2600
1753	1753
1752	1752
1751	1751
1750	1750
2609	2609
2608	2608
2607	2607
2606	2606
1759	1759
1758	1758
2605	2605
2604	2604
1757	1757
1770	1770
1767	1767
2614	2614
1766	1766
2613	2613
1765	1765
2612	2612
1764	1764
2611	2611
1763	1763
2610	2610
1762	1762
1761	1761
1760	1760
2619	2619
2618	2618
2617	2617
2616	2616
1769	1769
2615	2615
1768	1768
1781	1781
1780	1780
1778	1778
2625	2625
2624	2624
1777	1777
2623	2623
1776	1776
2622	2622
1775	1775
1774	1774
2621	2621
2620	2620
1773	1773
1772	1772
1771	1771
2629	2629
2628	2628
2627	2627
1779	1779
2626	2626
1792	1792
1791	1791
1790	1790
1789	1789
1305	1305
2636	2636
1788	1788
2635	2635
1304	1304
1787	1787
1303	1303
2634	2634
2633	2633
1786	1786
1302	1302
1301	1301
1785	1785
2632	2632
2631	2631
1300	1300
1784	1784
1783	1783
2630	2630
1782	1782
1309	1309
1308	1308
2639	2639
1307	1307
2638	2638
1306	1306
2637	2637
2650	2650
2647	2647
1316	1316
1315	1315
2646	2646
1799	1799
2645	2645
1314	1314
1798	1798
1313	1313
2644	2644
1797	1797
2643	2643
1312	1312
1796	1796
1311	1311
2642	2642
1795	1795
1794	1794
1310	1310
2641	2641
2640	2640
1793	1793
1319	1319
1318	1318
2649	2649
2648	2648
1317	1317
1330	1330
2661	2661
2660	2660
1327	1327
2658	2658
2657	2657
1326	1326
1325	1325
2656	2656
2655	2655
1324	1324
2654	2654
1323	1323
2653	2653
1322	1322
1321	1321
2652	2652
2651	2651
1320	1320
900	900
901	901
902	902
903	903
904	904
1329	1329
905	905
2659	2659
906	906
1328	1328
907	907
908	908
909	909
1341	1341
2672	2672
2671	2671
1340	1340
2670	2670
1338	1338
2669	2669
2668	2668
1337	1337
2667	2667
1336	1336
2666	2666
1335	1335
1334	1334
2665	2665
2664	2664
1333	1333
1332	1332
2663	2663
1331	1331
2662	2662
910	910
911	911
912	912
913	913
914	914
915	915
916	916
917	917
1339	1339
918	918
919	919
1352	1352
2683	2683
2682	2682
1351	1351
2681	2681
1350	1350
2680	2680
1349	1349
1348	1348
2679	2679
1347	1347
2678	2678
1346	1346
2677	2677
1345	1345
2676	2676
1344	1344
2675	2675
1343	1343
2674	2674
920	920
1342	1342
2673	2673
921	921
922	922
923	923
924	924
925	925
926	926
927	927
928	928
929	929
1363	1363
2210	2210
2694	2694
1362	1362
2693	2693
1361	1361
2692	2692
2691	2691
1360	1360
2690	2690
2207	2207
2206	2206
1359	1359
1358	1358
2689	2689
2205	2205
1357	1357
2204	2204
2688	2688
1356	1356
2203	2203
2687	2687
2686	2686
2202	2202
1355	1355
930	930
2685	2685
1354	1354
2201	2201
2684	2684
931	931
1353	1353
2200	2200
932	932
933	933
934	934
935	935
936	936
937	937
2209	2209
938	938
2208	2208
939	939
1374	1374
2221	2221
2220	2220
1373	1373
1372	1372
1371	1371
1370	1370
2218	2218
2217	2217
1369	1369
2216	2216
2215	2215
1368	1368
2699	2699
1367	1367
2698	2698
2214	2214
940	940
2213	2213
1366	1366
2697	2697
2696	2696
1365	1365
2212	2212
941	941
942	942
2211	2211
2695	2695
1364	1364
943	943
944	944
945	945
946	946
947	947
948	948
949	949
2219	2219
2232	2232
1385	1385
1384	1384
2231	2231
2230	2230
1383	1383
1382	1382
1381	1381
1380	1380
2229	2229
2228	2228
2227	2227
1379	1379
2226	2226
1378	1378
950	950
2225	2225
1377	1377
951	951
2224	2224
2223	2223
1376	1376
952	952
953	953
2222	2222
1375	1375
954	954
955	955
956	956
957	957
958	958
959	959
1396	1396
2243	2243
1395	1395
2242	2242
2241	2241
1394	1394
2240	2240
1393	1393
1392	1392
1391	1391
1390	1390
2239	2239
2238	2238
960	960
2237	2237
961	961
2236	2236
1389	1389
1388	1388
2235	2235
962	962
2234	2234
1387	1387
963	963
964	964
2233	2233
1386	1386
965	965
966	966
967	967
968	968
969	969
2254	2254
2253	2253
2252	2252
2251	2251
2250	2250
970	970
2249	2249
2248	2248
971	971
2247	2247
972	972
1399	1399
973	973
2246	2246
974	974
1398	1398
2245	2245
2244	2244
1397	1397
975	975
976	976
977	977
978	978
979	979
2265	2265
2264	2264
2263	2263
2262	2262
2261	2261
2260	2260
980	980
981	981
982	982
2259	2259
2258	2258
983	983
2257	2257
984	984
500	500
501	501
2256	2256
985	985
986	986
2255	2255
502	502
987	987
503	503
504	504
988	988
505	505
989	989
506	506
507	507
508	508
509	509
2276	2276
2275	2275
2274	2274
2273	2273
2272	2272
2271	2271
2270	2270
990	990
991	991
992	992
993	993
994	994
510	510
2269	2269
2268	2268
995	995
511	511
996	996
2267	2267
512	512
2266	2266
997	997
513	513
514	514
998	998
999	999
515	515
516	516
517	517
518	518
519	519
2287	2287
2286	2286
2285	2285
2284	2284
2283	2283
2282	2282
2281	2281
2280	2280
520	520
521	521
522	522
2279	2279
523	523
2278	2278
2277	2277
524	524
525	525
526	526
527	527
528	528
529	529
2290	2290
2298	2298
2297	2297
2296	2296
2295	2295
2294	2294
2293	2293
2292	2292
2291	2291
530	530
531	531
532	532
533	533
2289	2289
534	534
535	535
2288	2288
536	536
537	537
538	538
539	539
540	540
541	541
542	542
543	543
544	544
545	545
2299	2299
546	546
547	547
548	548
549	549
550	550
551	551
552	552
553	553
554	554
555	555
556	556
557	557
558	558
559	559
560	560
561	561
562	562
563	563
564	564
565	565
566	566
567	567
568	568
569	569
570	570
571	571
572	572
573	573
574	574
575	575
576	576
577	577
578	578
579	579
580	580
581	581
582	582
583	583
100	100
584	584
101	101
585	585
102	102
586	586
103	103
587	587
104	104
588	588
105	105
589	589
106	106
107	107
108	108
109	109
590	590
591	591
592	592
593	593
110	110
594	594
595	595
111	111
112	112
596	596
113	113
597	597
114	114
598	598
599	599
115	115
116	116
117	117
118	118
119	119
120	120
121	121
122	122
123	123
124	124
125	125
126	126
127	127
128	128
129	129
130	130
131	131
132	132
133	133
134	134
135	135
136	136
137	137
138	138
139	139
1809	1809
140	140
141	141
142	142
143	143
1800	1800
144	144
145	145
146	146
